Scientific name	Comments	WORMS Authority	WORMS Rank	WORMS Kingdom	WORMS Phylum	WORMS Class	WORMS Order	WORMS Family	WORMS Genus	WORMS AphiaID
Microdeutopus gryllotalpa		Costa, 1853	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Aoridae	Microdeutopus	102048
Micromonas		I.Manton & M.Parke, 1960	Genus	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	134533
Micromonas pusilla		(Butcher) I.Manton & M.Parke, 1960	Species	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	134564
Micronecta		Kirkaldy, 1897	Genus	Animalia	Arthropoda	Insecta	Hemiptera	Corixidae	Micronecta	503871
Microprotopus maculatus		Norman, 1867	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Microprotopidae	Microprotopus	102380
Microsetella		Brady & Robertson D., 1873	Genus	Animalia	Arthropoda		Harpacticoida	Ectinosomatidae	Microsetella	115341
Microsetella norvegica		(Boeck, 1865)	Species	Animalia	Arthropoda		Harpacticoida	Ectinosomatidae	Microsetella	116115
Microstomus kitt		(Walbaum, 1792)	Species	Animalia	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Microstomus	127140
Micrura baltica		Cantell, 1975	Species	Animalia	Nemertea	Anopla		Lineidae	Micrura	122549
Mnemiopsis leidyi		A. Agassiz, 1865	Species	Animalia	Ctenophora	Tentaculata	Lobata	Bolinopsidae	Mnemiopsis	106401
Modiolarca subpicta		(Cantraine, 1835)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Gaimardiidae	Modiolarca	140460
Modiolula phaseolina		(Philippi, 1844)	Species	Animalia	Mollusca	Bivalvia	Mytiloida	Mytilidae	Modiolula	140461
Modiolus		Lamarck, 1799	Genus	Animalia	Mollusca	Bivalvia	Mytiloida	Mytilidae	Modiolus	138223
Modiolus modiolus		(Linnaeus, 1758)	Species	Animalia	Mollusca	Bivalvia	Mytiloida	Mytilidae	Modiolus	140467
Moera loveni		(Bruzelius, 1859)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Maeridae	Maera	102820
